Index,Date,Close
SP500,2020-11-09,0.011631975
SP500,2020-11-10,-0.001400775
SP500,2020-11-11,0.007622728
SP500,2020-11-12,-0.010028652
SP500,2020-11-13,0.013518547
SP500,2020-11-16,0.011580735
SP500,2020-11-17,-0.004803444
SP500,2020-11-18,-0.011631211
SP500,2020-11-19,0.003938676
SP500,2020-11-20,-0.006815737
SP500,2020-11-23,0.005620108
SP500,2020-11-24,0.016032459
SP500,2020-11-25,-0.001585675
SP500,2020-11-27,0.002394111
SP500,2020-11-30,-0.004606141
SP500,2020-12-01,0.011208141
SP500,2020-12-02,0.001789565
SP500,2020-12-03,-0.000624352
SP500,2020-12-04,0.008797464
SP500,2020-12-07,-0.001937513
SP500,2020-12-08,0.002783271
SP500,2020-12-09,-0.007980965
SP500,2020-12-10,-0.001285935
SP500,2020-12-11,-0.001265798
SP500,2020-12-14,-0.004368788
SP500,2020-12-15,0.012838482
SP500,2020-12-16,0.001771226
SP500,2020-12-17,0.005741143
SP500,2020-12-18,-0.003517297
SP500,2020-12-21,-0.003913928
SP500,2020-12-22,-0.002075245
SP500,2020-12-23,0.000745533
SP500,2020-12-24,0.00353035
SP500,2020-12-28,0.008684708
SP500,2020-12-29,-0.002229865
SP500,2020-12-30,0.001340648
SP500,2020-12-31,0.006418205
SP500,2021-01-04,-0.014864763
SP500,2021-01-05,0.007057631
SP500,2021-01-06,0.005693603
SP500,2021-01-07,0.01473826
SP500,2021-01-08,0.005476837
SP500,2021-01-11,-0.006576328
SP500,2021-01-12,0.000415702
SP500,2021-01-13,0.002273056
SP500,2021-01-14,-0.003760513
SP500,2021-01-15,-0.007216001
SP500,2021-01-19,0.008103458
SP500,2021-01-20,0.013839417
SP500,2021-01-21,0.000316673
SP500,2021-01-22,-0.003015153
SP500,2021-01-25,0.003609318
SP500,2021-01-26,-0.001489943
SP500,2021-01-27,-0.026013315
SP500,2021-01-28,0.009713299
SP500,2021-01-29,-0.019500378
SP500,2021-02-01,0.0159243
SP500,2021-02-02,0.013802529
SP500,2021-02-03,0.001008261
SP500,2021-02-04,0.010794848
SP500,2021-02-05,0.00388992
SP500,2021-02-08,0.007372107
SP500,2021-02-09,-0.001114145
SP500,2021-02-10,-0.000345245
SP500,2021-02-11,0.001661075
SP500,2021-02-12,0.004699971
SP500,2021-02-16,-0.000569435
SP500,2021-02-17,-0.000320453
SP500,2021-02-18,-0.004425614
SP500,2021-02-19,-0.001856619
SP500,2021-02-22,-0.007762893
SP500,2021-02-23,0.00125553
SP500,2021-02-24,0.011287668
SP500,2021-02-25,-0.024783394
SP500,2021-02-26,-0.004761532
SP500,2021-03-01,0.023512173
SP500,2021-03-02,-0.008113679
SP500,2021-03-03,-0.013152336
SP500,2021-03-04,-0.013508038
SP500,2021-03-05,0.019308356
SP500,2021-03-08,-0.005373643
SP500,2021-03-09,0.014055401
SP500,2021-03-10,0.006012204
SP500,2021-03-11,0.010341826
SP500,2021-03-12,0.001014883
SP500,2021-03-15,0.00647094
SP500,2021-03-16,-0.001570917
SP500,2021-03-17,0.002875245
SP500,2021-03-18,-0.01487056
SP500,2021-03-19,-0.000602886
SP500,2021-03-22,0.007000557
SP500,2021-03-23,-0.007660118
SP500,2021-03-24,-0.005482337
SP500,2021-03-25,0.005226583
SP500,2021-03-26,0.016494419
SP500,2021-03-29,-0.00086839
SP500,2021-03-30,-0.003162829
SP500,2021-03-31,0.003615954
SP500,2021-04-01,0.01175583
SP500,2021-04-05,0.014334988
SP500,2021-04-06,-0.000974005
SP500,2021-04-07,0.001474146
SP500,2021-04-08,0.004211751
SP500,2021-04-09,0.007690288
SP500,2021-04-12,-0.000196098
SP500,2021-04-13,0.003289072
SP500,2021-04-14,-0.004096104
SP500,2021-04-15,0.011033101
SP500,2021-04-16,0.003602323
SP500,2021-04-19,-0.00532069
SP500,2021-04-20,-0.006825561
SP500,2021-04-21,0.009263021
SP500,2021-04-22,-0.009253338
SP500,2021-04-23,0.01086941
SP500,2021-04-26,0.001780685
SP500,2021-04-27,-0.000214919
SP500,2021-04-28,-0.000845898
SP500,2021-04-29,0.006740042
SP500,2021-04-30,-0.007220713
SP500,2021-05-03,0.002744322
SP500,2021-05-04,-0.006700737
SP500,2021-05-05,0.000703216
SP500,2021-05-06,0.008132299
SP500,2021-05-07,0.007346291
SP500,2021-05-10,-0.010490481
SP500,2021-05-11,-0.00871175
SP500,2021-05-12,-0.021682782
SP500,2021-05-13,0.012099645
SP500,2021-05-14,0.014807779
SP500,2021-05-17,-0.002533258
SP500,2021-05-18,-0.008553772
SP500,2021-05-19,-0.002947752
SP500,2021-05-20,0.010499429
SP500,2021-05-21,-0.000784188
SP500,2021-05-24,0.009862497
SP500,2021-05-25,-0.002127545
SP500,2021-05-26,0.001875058
SP500,2021-05-27,0.001164636
SP500,2021-05-28,0.000768586
SP500,2021-06-01,-0.000492455
SP500,2021-06-02,0.001445889
SP500,2021-06-03,-0.003635303
SP500,2021-06-04,0.008795303
SP500,2021-06-07,-0.000797056
SP500,2021-06-08,0.00017501
SP500,2021-06-09,-0.001825533
SP500,2021-06-10,0.004641455
SP500,2021-06-11,0.001946539
SP500,2021-06-14,0.001813556
SP500,2021-06-15,-0.00201372
SP500,2021-06-16,-0.005404704
SP500,2021-06-17,-0.000435811
SP500,2021-06-18,-0.013211356
SP500,2021-06-21,0.013905164
SP500,2021-06-22,0.005111406
SP500,2021-06-23,-0.001083871
SP500,2021-06-24,0.00579443
SP500,2021-06-25,0.003325063
SP500,2021-06-28,0.002312289
SP500,2021-06-29,0.000277298
SP500,2021-06-30,0.001327278
SP500,2021-07-01,0.005208041
SP500,2021-07-02,0.007472096
SP500,2021-07-06,-0.002023903
SP500,2021-07-07,0.003353347
SP500,2021-07-08,-0.008597881
SP500,2021-07-09,0.011214826
SP500,2021-07-12,0.003445233
SP500,2021-07-13,-0.003523011
SP500,2021-07-14,0.001164257
SP500,2021-07-15,-0.003267574
SP500,2021-07-16,-0.007567415
SP500,2021-07-19,-0.015996781
SP500,2021-07-20,0.015048806
SP500,2021-07-21,0.008208042
SP500,2021-07-22,0.002014639
SP500,2021-07-23,0.010094332
SP500,2021-07-26,0.002379367
SP500,2021-07-27,-0.004723583
SP500,2021-07-28,-0.000186279
SP500,2021-07-29,0.004197332
SP500,2021-07-30,-0.005420714
SP500,2021-08-02,-0.001844506
SP500,2021-08-03,0.008169961
SP500,2021-08-04,-0.004643151
SP500,2021-08-05,0.005987486
SP500,2021-08-06,0.001673865
SP500,2021-08-09,-0.00094035
SP500,2021-08-10,0.000992187
SP500,2021-08-11,0.001274931
SP500,2021-08-12,0.004137808
SP500,2021-08-13,0.001606016
SP500,2021-08-16,0.002617422
SP500,2021-08-17,-0.007085744
SP500,2021-08-18,-0.010806653
SP500,2021-08-19,0.001255903
SP500,2021-08-20,0.008108604
SP500,2021-08-23,0.008487668
SP500,2021-08-24,0.001494619
SP500,2021-08-25,0.002217657
SP500,2021-08-26,-0.00584195
SP500,2021-08-27,0.008769072
SP500,2021-08-30,0.004297324
SP500,2021-08-31,-0.001350027
SP500,2021-09-01,0.00031164
SP500,2021-09-02,0.002838606
SP500,2021-09-03,-0.000335087
SP500,2021-09-07,-0.003401352
SP500,2021-09-08,-0.001319437
SP500,2021-09-09,-0.004616247
SP500,2021-09-10,-0.007752552
SP500,2021-09-13,0.0022739
SP500,2021-09-14,-0.005763214
SP500,2021-09-15,0.008438294
SP500,2021-09-16,-0.001552345
SP500,2021-09-17,-0.00915263
SP500,2021-09-20,-0.017123078
SP500,2021-09-21,-0.000812689
SP500,2021-09-22,0.009474585
SP500,2021-09-23,0.01206168
SP500,2021-09-24,0.001459943
SP500,2021-09-27,-0.002780244
SP500,2021-09-28,-0.020574318
SP500,2021-09-29,0.001567954
SP500,2021-09-30,-0.011981203
SP500,2021-10-01,0.011425952
SP500,2021-10-04,-0.013070952
SP500,2021-10-05,0.010469517
SP500,2021-10-06,0.004094399
SP500,2021-10-07,0.008264039
SP500,2021-10-08,-0.001915557
SP500,2021-10-11,-0.006889442
SP500,2021-10-12,-0.002419706
SP500,2021-10-13,0.003017956
SP500,2021-10-14,0.016919162
SP500,2021-10-15,0.007432521
SP500,2021-10-18,0.003369088
SP500,2021-10-19,0.007366143
SP500,2021-10-20,0.003657334
SP500,2021-10-21,0.002991393
SP500,2021-10-22,-0.001073129
SP500,2021-10-25,0.004736959
SP500,2021-10-26,0.001818141
SP500,2021-10-27,-0.00506437
SP500,2021-10-28,0.009781288
SP500,2021-10-29,0.001947437
SP500,2021-11-01,0.001798459
SP500,2021-11-02,0.003673607
SP500,2021-11-03,0.006440495
SP500,2021-11-04,0.004173222
SP500,2021-11-05,0.00372585
SP500,2021-11-08,0.000887394
SP500,2021-11-09,-0.003504911
SP500,2021-11-10,-0.008259842
SP500,2021-11-11,0.000550788
SP500,2021-11-12,0.007196698
SP500,2021-11-15,-1.07399E-05
SP500,2021-11-16,0.003857779
SP500,2021-11-17,-0.002605015
SP500,2021-11-18,0.003379065
SP500,2021-11-19,-0.001399645
SP500,2021-11-22,-0.003202258
SP500,2021-11-23,0.001655761
SP500,2021-11-24,0.002291224
SP500,2021-11-26,-0.022987011
SP500,2021-11-29,0.013113836
SP500,2021-11-30,-0.019143381
SP500,2021-12-01,-0.011885541
SP500,2021-12-02,0.014094638
SP500,2021-12-03,-0.008484455
SP500,2021-12-06,0.011662599
SP500,2021-12-07,0.020495603
SP500,2021-12-08,0.003080536
SP500,2021-12-09,-0.007206988
SP500,2021-12-10,0.009503769
SP500,2021-12-13,-0.009178158
SP500,2021-12-14,-0.007498723
SP500,2021-12-15,0.016216267
SP500,2021-12-16,-0.008781863
SP500,2021-12-17,-0.010340965
SP500,2021-12-20,-0.011453398
SP500,2021-12-21,0.017621755
SP500,2021-12-22,0.010128728
SP500,2021-12-23,0.006204413
SP500,2021-12-27,0.013744052
SP500,2021-12-28,-0.001010665
SP500,2021-12-29,0.001400913
SP500,2021-12-30,-0.002994234
SP500,2021-12-31,-0.002629634
SP500,2022-01-03,0.006353824
SP500,2022-01-04,-0.00062982
SP500,2022-01-05,-0.019583264
SP500,2022-01-06,-0.000964234
SP500,2022-01-07,-0.004058441
SP500,2022-01-10,-0.001442071
SP500,2022-01-11,0.009118286
SP500,2022-01-12,0.002813792
SP500,2022-01-13,-0.014346029
SP500,2022-01-14,0.000819644
SP500,2022-01-18,-0.018559105
SP500,2022-01-19,-0.009736791
SP500,2022-01-20,-0.011098742
SP500,2022-01-21,-0.019095995
SP500,2022-01-24,0.002767905
SP500,2022-01-25,-0.012246591
SP500,2022-01-26,-0.001497757
SP500,2022-01-27,-0.005398635
SP500,2022-01-28,0.024055968
SP500,2022-01-31,0.018709826
SP500,2022-02-01,0.00683956
SP500,2022-02-02,0.0093784
SP500,2022-02-03,-0.024693472
SP500,2022-02-04,0.005143678
SP500,2022-02-07,-0.003708581
SP500,2022-02-08,0.008366113
SP500,2022-02-09,0.014412842
SP500,2022-02-10,-0.018281824
SP500,2022-02-11,-0.019151683
SP500,2022-02-14,-0.003847991
SP500,2022-02-15,0.015643718
SP500,2022-02-16,0.00088082
SP500,2022-02-17,-0.021400504
SP500,2022-02-18,-0.007191962
SP500,2022-02-22,-0.010194735
SP500,2022-02-23,-0.018583736
SP500,2022-02-24,0.014846105
SP500,2022-02-25,0.022126081
SP500,2022-02-28,-0.002445591
SP500,2022-03-01,-0.015594468
SP500,2022-03-02,0.018471047
SP500,2022-03-03,-0.005268521
SP500,2022-03-04,-0.007965685
SP500,2022-03-07,-0.029962587
SP500,2022-03-08,-0.007260044
SP500,2022-03-09,0.025373598
SP500,2022-03-10,-0.00430105
SP500,2022-03-11,-0.013046279
SP500,2022-03-14,-0.007448675
SP500,2022-03-15,0.02118263
SP500,2022-03-16,0.022136922
SP500,2022-03-17,0.012272205
SP500,2022-03-18,0.011594814
SP500,2022-03-21,-0.000434755
SP500,2022-03-22,0.0112407
SP500,2022-03-23,-0.01234863
SP500,2022-03-24,0.014242012
